GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AutosQA,com.AutosQA,Main,85,0,4,0,21,0,4,0,2,0
AutosQA,com.AutosQA.db,Conexion,3,5,0,0,1,1,1,1,1,1
AutosQA,com.AutosQA.db,CrearTabla,22,0,0,0,10,0,2,0,2,0
AutosQA,com.AutosQA.dao,AutoDAO,25,173,1,5,15,53,2,8,1,6
AutosQA,com.AutosQA.model,Auto,18,45,0,0,5,13,4,8,4,8
